"","words","value"
"772","einschüchtern",-0.0048
"773","einschüchternd",-0.0048
"774","einschüchterung",-0.0048
"775","einsinken",-0.0366
"776","einsparen",0.004
"777","einsparung",0.004
"778","einstellen",-0.0048
"779","einstürzen",-0.0048
"780","eintönig",-0.0378
"781","einträglich",0.004
"782","einwandfrei",0.0949
"783","einweihen",0.004
"784","einweihung",0.004
"785","einzigartig",0.3078
"786","einzigartigkeit",0.004
"787","ekel",-0.462
"788","ekelerregend",-0.0413
"789","ekelig",-0.0048
"790","eklatant",-0.0048
"791","elegant",0.2115
"792","eleganz",0.004
"793","elend",-0.1266
"794","elendig",-0.0048
"795","empathie",0.004
"796","empathisch",0.004
"797","empfehlen",0.004
"798","empfehlenswert",0.093
"799","empfehlung",0.004
"800","empören",-0.0048
"801","empörung",-0.0048
"802","ende",-0.2088
"803","energielos",-0.3037
"804","energielosigkeit",-0.0048
"805","energisch",0.004
"806","engagement",0.2157
"807","engagieren",0.004
"808","engagiert",0.0869
"809","engstirnig",-0.3199
"810","enorm",0.0898
"811","entbehrungsreich",-0.0048
"812","entbinden",-0.0048
"813","entbindung",-0.0048
"814","entfremden",-0.0048
"815","entfremdung",-0.0048
"816","entführen",-0.0048
"817","entführung",-0.0048
"818","entgleiten",-0.0048
"819","enthaupten",-0.0048
"820","enthauptung",-0.0048
"821","enthusiastisch",0.004
"822","entkräften",-0.0048
"823","entlassen",-0.0048
"824","entlassung",-0.0048
"825","entlasten",0.004
"826","entlastung",0.004
"827","entlohnen",0.004
"828","entlohnung",0.004
"829","entmutigen",-0.0048
"830","entmutigung",-0.0048
"831","entnervt",-0.0048
"832","enträtseln",0.004
"833","entrüsten",-0.0048
"834","entschädigen",0.004
"835","entschädigung",0.004
"836","entschlossen",0.004
"837","entschluß",0.0804
"838","entschlüsseln",0.004
"839","entschlüsselung",0.004
"840","entschwinden",-0.1827
"841","entsetzlich",-0.477
"842","entspannen",0.2406
"843","entspannung",0.0875
"844","enttäuschen",-0.0586
"845","enttäuschend",-0.0425
"846","enttäuscht",-0.3129
"847","enttäuschung",-0.3378
"848","entwirren",0.004
"849","entwirrung",0.004
"850","entwürdigend",-0.3132
"851","entziehen",-0.0048
"852","entziehung",-0.0048
"853","entzückend",0.0844
"854","epidemie",-0.0048
"855","epochal",0.004
"856","erarbeiten",0.004
"857","erbärmlich",-0.4796
"858","erbe",0.004
"859","erben",0.004
"860","erbittert",-0.0048
"861","erbost",-0.3293
"862","erbrechen",-0.3308
"863","erdrückend",-0.0048
"864","erfahren",0.0927
"865","erfahrung",0.004
"866","erfolg",0.3446
"867","erfolgreich",0.2193
"868","erfolgserlebnis",0.0884
"869","erfreuen",0.2112
"870","erfreulich",0.2197
"871","erfrischend",0.2227
"872","erfüllen",0.004
"873","erfüllung",0.004
"874","ergänzen",0.2074
"875","ergänzung",0.004
"876","ergaunern",-0.0048
"877","ergebnislos",-0.0048
"878","ergebnisreich",0.004
"879","ergiebig",0.004
"880","ergiebigkeit",0.004
"881","erhalten",0.004
"882","erhältlich",0.004
"883","erhaltung",0.004
"884","erhebend",0.004
"885","erheblich",0.004
"886","erhöhen",0.004
"887","erhöhung",0.004
"888","erholen",0.2357
"889","erholsam",0.2188
"890","erholung",0.0865
"891","erkennbar",0.004
"892","erklärt",0.004
"893","erklimmen",0.004
"894","erlauben",0.004
"895","erlaubnis",0.004
"896","erleichtern",0.004
"897","erleichterung",0.004
"898","erleiden",-0.3494
"899","erleuchten",0.004
"900","erleuchtung",0.004
"901","erliegen",-0.3296
"902","erlösen",0.004
"903","erlösung",0.004
"904","ermahnen",-0.0048
"905","ermahnung",-0.0048
"906","ermöglichen",0.004
"907","ermorden",-0.3292
"908","ermordung",-0.332
"909","ermüden",-0.0048
"910","ermüdung",-0.0048
"911","ermunternd",0.004
"912","ermutigen",0.004
"913","ermutigend",0.0735
"914","ermutigung",0.004
"915","erneuern",0.004
"916","erneuerung",0.004
"917","erniedrigen",-0.0048
"918","erniedrigung",-0.3259
"919","ernsthaft",0.004
